Image_Path,Next_Image_Path
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000006 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000007 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000008 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000009 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 012.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000010 013.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 012.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 013.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 013.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 014.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 014.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 015.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 015.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000011 016.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000012 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000013 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 012.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 013.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 013.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000014 014.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000015 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 009.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 009.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 010.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 010.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 011.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 011.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 012.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 012.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 013.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 013.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 014.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 014.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 015.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 015.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 016.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 016.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 017.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 017.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 018.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 018.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 019.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 019.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000016 020.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000017 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 008.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 009.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 009.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 010.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 010.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 011.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 011.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000018 012.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000019 004.jpeg
